tag,doc_code,subtype_code,use_code,description,attribute,description_attr
MEDIUM                                            ,5,0,0,                                                  ,                                                  ,                                                  
P                                                 ,2,0,0,                                                  ,ID                                                ,                                                  
BIBCIT                                            ,1,4,0,Bibliographic Citation                            ,DBREF                                             ,                                                  
SOURCEDESC                                        ,2,0,0,                                                  ,                                                  ,                                                  
SHORTPROSE                                        ,0,0,0,                                                  ,                                                  ,                                                  
L                                                 ,0,0,0,Line (of poetry)                                  ,                                                  ,                                                  
TEXTSCOPE                                         ,0,0,0,                                                  ,DBREF                                             ,                                                  
RRECOGNITIONNAME                                  ,0,0,1,Recognition Name                                  ,                                                  ,                                                  
BIBCIT                                            ,1,4,0,Bibliographic Citation                            ,QTDIN                                             ,Quoted In                                         
TOPIC                                             ,1,5,0,Topic                                             ,STANDARD                                          ,                                                  
TCHARACTERNAME                                    ,0,0,1,Character Name                                    ,                                                  ,                                                  
CLASS                                             ,2,0,0,Class                                             ,REG                                               ,                                                  
JOB                                               ,1,4,1,Job                                               ,HISTORICALTERM                                    ,Historical Term                                   
CALL_NO                                           ,5,0,0,                                                  ,                                                  ,                                                  
RS                                                ,1,5,1,Rs (names of vehicles)                            ,                                                  ,                                                  
PFIRSTLITERARYACTIVITY                            ,0,0,1,First Literary Activity                           ,                                                  ,                                                  
TOPIC                                             ,2,0,0,Topic                                             ,                                                  ,                                                  
DATERANGE                                         ,2,0,0,                                                  ,                                                  ,                                                  
DATERANGE                                         ,1,4,0,                                                  ,CERTAINTY                                         ,                                                  
TPLOT                                             ,1,4,1,Plot                                              ,                                                  ,                                                  
QUOTE                                             ,1,4,0,Quote                                             ,DIRECT                                            ,Direct                                            
SIC                                               ,1,5,0,                                                  ,CORR                                              ,                                                  
RS                                                ,0,0,1,Rs (names of vehicles)                            ,                                                  ,                                                  
RRECOGNITIONS                                     ,1,4,1,Recognitions (literary)                           ,                                                  ,                                                  
PAUTHORSHIP                                       ,1,4,1,Authorship                                        ,AUTHORNAMETYPE                                    ,Author Name Type                                  
TSETTINGDATE                                      ,1,4,1,Setting Date                                      ,                                                  ,                                                  
NAME                                              ,0,0,0,Name                                              ,STANDARD                                          ,                                                  
HEADING                                           ,0,0,0,Heading                                           ,                                                  ,                                                  
POLITICALAFFILIATION                              ,2,0,0,Political Affiliation                             ,HISTORICALTERMCONTEXTDATE                         ,Historical Term Context Date                      
TITLE                                             ,1,4,1,Title (of text)                                   ,TITLETYPE                                         ,Title Type                                        
DATE                                              ,2,0,1,Date                                              ,CALENDAR                                          ,Calendar                                          
CLASS                                             ,1,4,1,Class                                             ,SELF-DEFINED                                      ,Self-Defined                                      
TGENRE                                            ,0,0,0,Genre                                             ,PROPOSEDALTERNATIVENAME                           ,                                                  
SIC                                               ,0,0,0,                                                  ,CORR                                              ,                                                  
ORGNAME                                           ,2,0,0,Organization Name                                 ,ORGTYPE                                           ,                                                  
MEMBER                                            ,2,0,1,Member of Family                                  ,RELATION                                          ,Relation                                          
